id,intakedate,intakereason,istransfer,sheltercode,identichipnumber,animalname,breedname,basecolour,speciesname,animalage,sexname,location,movementdate,movementtype,istrial,returnedreason,deceasedreason,diedoffshelter,puttosleep,isdoa
848,2017-06-19,Litter relinquishment,0,C1706538,981020021047662,Wesley,Domestic Short Hair,Black,Cat,1.7,Male,Lobby,2017-06-23,Foster,0.0,Stray,Court Order/ Legal,0,0,0
849,2017-06-19,Litter relinquishment,0,C1706539,981020021076045,Cookie,Domestic Short Hair,Black and White,Cat,1.9,Male,Cat room B,2017-06-23,Foster,0.0,Stray,Court Order/ Legal,0,0,0
850,2017-06-19,Litter relinquishment,0,C1706540,981020021472579,Melinda,Domestic Short Hair,Calico,Cat,1.4,Female,Adoptable Cat Middle Colony,2017-06-23,Foster,0.0,Stray,Court Order/ Legal,0,0,0
851,2017-06-19,Litter relinquishment,0,C1706541,981020021062767,Arliss,Domestic Short Hair,Black,Cat,1.7,Male,Adoptable Cat Small Colony,2017-06-23,Foster,0.0,Stray,Court Order/ Legal,0,0,0
852,2017-06-19,Litter relinquishment,0,C1706542,981020021814362,Jason,Domestic Short Hair,Black,Cat,1.4,Male,Adoptable Cat Middle Colony,2017-06-23,Foster,0.0,Stray,Court Order/ Legal,0,0,0
853,2017-06-19,Litter relinquishment,0,C1706543,981020021489632,Alice,Domestic Short Hair,Calico,Cat,1.4,Female,Adoptable Cat Middle Colony,2017-06-23,Foster,0.0,Stray,Court Order/ Legal,0,0,0
854,2017-06-19,Police Assist,0,D1706535,0A48326744,Missy,Labrador Retriever/Shep Mix,Black,Dog,7.8,Female,Stray Dogs Theta,2017-06-21,Reclaimed,0.0,Stray,Court Order/ Legal,0,0,0
855,2017-06-20,Stray,0,C1706544,981020021068790,William,Domestic Short Hair,Orange and White,Cat,1.6,Male,Lobby,2017-06-27,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
856,2017-06-20,Stray,0,C1706545,981020021076396,Bandis,Domestic Short Hair,Black,Cat,3.3,Male,Adoptable Cat Kennels,2017-07-13,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
857,2017-06-20,Stray,0,C1706546,981020021052461,Larry,Domestic Short Hair,White and Brown,Cat,1.6,Male,Lobby,2017-06-27,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
858,2017-06-20,Police Assist,0,D1706086,0A53533583,Mya,Pitbull,Black,Dog,4.4,Female,Stray Dogs Beta,2017-06-20,Reclaimed,0.0,Stray,Court Order/ Legal,0,0,0
859,2017-06-20,Biting,0,D1706012,0A35356307,Blue,Pitbull,Blue,Dog,6.2,Male,Stray Dogs Beta,2017-06-26,Reclaimed,0.0,Rabies Monitoring,Owner Requested,0,1,0
860,2017-06-20,Incompatible with owner lifestyle,0,D1706544,981020021052316,Midnight,Labrador Retriever/Pitbull,Black,Dog,2.6,Female,Adoptable Dogs,2017-07-05,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
